Neighb ID,Neighbourhood Name,     POPULATION IN LOW-INCOME BASED ON LOW-INCOME CUT-OFFS - AFTER-TAX (LICO-AT),,,,,,,,,,,,,,,     POPULATION IN LOW-INCOME BASED ON LOW-INCOME MEASURE - AFTER-TAX (LIM-AT),,,,,,,,,,,,,,
,,Total - Population to whom Low Income Concepts Are Applicable (Denominator)^,In LICO-AT,In LICO-AT (%),Total - Population to whom Low Income Concepts Are Applicable (0-17 yrs),"In LICO-AT 
(0-17 yrs)","In LICO-AT 
(0-17 yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (0-5 yrs),"In LICO-AT 
(0-5 yrs)","In LICO-AT 
(0-5 yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (18-64 yrs),"In LICO-AT 
(18-64 yrs)","In LICO-AT 
(18-64 yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (65+ yrs),"In LICO-AT 
(65+ yrs)","In LICO-AT 
(65+ yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (Denominator)^,In LIM-AT,In LIM-AT (%),Total - Population to whom Low Income Concepts Are Applicable (0-17 yrs),"In LIM-AT 
(0-17 yrs)","In LIM-AT 
(0-17 yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (0-5 yrs),"In LIM-AT 
(0-5 yrs)","In LIM-AT 
(0-5 yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (18-64 yrs),"In LIM-AT 
(18-64 yrs)","In LIM-AT 
(18-64 yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (65+ yrs),"In LIM-AT 
(65+ yrs)","In LIM-AT 
,,Total - Population to whom Low Income Concepts Are Applicable (Denominator)^,In LICO-AT,In LICO-AT (%),Total - Population to whom Low Income Concepts Are Applicable (0-17 yrs),"In LICO-AT 
(0-17 yrs)","In LICO-AT 
(0-17 yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (0-5 yrs),"In LICO-AT 
(0-5 yrs)","In LICO-AT 
(0-5 yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (18-64 yrs),"In LICO-AT 
(18-64 yrs)","In LICO-AT 
(18-64 yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (65+ yrs),"In LICO-AT 
(65+ yrs)","In LICO-AT 
(65+ yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (Denominator)^,In LIM-AT,In LIM-AT (%),Total - Population to whom Low Income Concepts Are Applicable (0-17 yrs),"In LIM-AT 
(0-17 yrs)","In LIM-AT 
(0-17 yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (0-5 yrs),"In LIM-AT 
(0-5 yrs)","In LIM-AT 
(0-5 yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (18-64 yrs),"In LIM-AT 
(18-64 yrs)","In LIM-AT 
(18-64 yrs) (%)",Total - Population to whom Low Income Concepts Are Applicable (65+ yrs),"In LIM-AT 
(65+ yrs)","In LIM-AT 
(65+ yrs) (%)"
1,West Humber-Clairville,32905,2450,7.4,5300,285,0.9,1670,100,0.3,22320,1995,6.1,5285,170,0.5,32880,2900,8.8,5275,575,1.7,1670,210,0.6,22305,1720,5.2,5295,590,1.8
2,Mount Olive-Silverstone-Jamestown,31195,2705,8.7,7120,670,2.1,2020,210,0.7,20015,1825,5.9,4125,200,0.6,31260,4870,15.6,7095,1595,5.1,2015,490,1.6,19995,2560,8.2,4130,700,2.2
3,Thistletown-Beaumond Heights,9845,725,7.4,1855,140,1.4,590,60,0.6,6290,515,5.2,1740,65,0.7,9860,1145,11.6,1825,305,3.1,575,95,1.0,6280,635,6.4,1740,220,2.2
4,Rexdale-Kipling,10380,775,7.5,1895,145,1.4,635,50,0.5,6620,565,5.4,1845,95,0.9,10365,1375,13.3,1920,345,3.3,620,110,1.1,6630,705,6.8,1850,355,3.4
5,Elms-Old Rexdale,9360,715,7.6,2000,210,2.2,565,60,0.6,5970,455,4.9,1390,55,0.6,9345,1170,12.5,1980,390,4.2,580,120,1.3,5980,595,6.4,1390,175,1.9
6,Kingsview Village-The Westway,22000,1725,7.8,4680,445,2.0,1500,145,0.7,13620,1140,5.2,3715,110,0.5,22000,3230,14.7,4690,1085,4.9,1485,370,1.7,13620,1650,7.5,3695,485,2.2
7,Willowridge-Martingrove-Richview,22230,1130,5.1,4235,255,1.1,1335,65,0.3,12970,710,3.2,5015,160,0.7,22230,2155,9.7,4225,545,2.5,1340,180,0.8,12985,970,4.4,5030,610,2.7
8,Humber Heights-Westmount,10020,565,5.6,1710,130,1.3,510,30,0.3,5915,340,3.4,2385,85,0.8,10000,1010,10.1,1705,210,2.1,505,55,0.6,5915,500,5.0,2395,295,3.0
9,Edenbridge-Humber Valley,15195,695,4.6,2585,140,0.9,705,35,0.2,9155,450,3.0,3470,105,0.7,15195,1210,8.0,2575,260,1.7,705,80,0.5,9135,675,4.4,3465,305,2.0
